0;1;2;3;4;5;6;7;8;9;10
29.8;27.3;37.3;975.0;2.7;60.9;0.0;11.5;1.0;0.0;0.0
30.1;27.3;36.8;980.0;2.9;65.8;0.0;11.3;1.0;0.0;0.0
30.3;27.4;35.8;981.0;2.7;67.8;0.0;11.0;1.0;0.0;0.0
27.4;33.8;39.0;831.0;0.5;17.3;0.0;17.9;1.0;0.0;0.0
27.3;34.2;35.2;568.2;0.8;23.2;0.0;16.7;1.0;0.0;0.0
27.6;34.5;31.7;769.1;0.9;354.2;0.0;15.3;1.0;0.0;0.0
27.9;35.0;27.6;367.3;0.9;350.1;0.0;13.6;1.0;0.0;0.0
27.8;35.1;33.6;806.0;1.1;125.2;0.0;16.6;1.0;0.0;0.0
27.6;34.8;38.5;692.2;1.4;177.7;0.0;18.6;1.0;0.0;0.0
27.6;34.5;40.3;966.0;1.7;176.6;0.0;19.1;1.0;0.0;0.0
26.1;24.0;44.9;278.3;2.0;61.0;0.0;11.3;0.0;1.0;0.0
25.7;23.9;46.7;250.8;2.1;65.2;0.0;11.8;0.0;1.0;0.0
26.2;23.7;46.5;208.6;2.0;60.8;0.0;11.6;0.0;1.0;0.0
26.4;23.6;47.4;181.3;2.0;56.8;0.0;11.7;0.0;1.0;0.0
26.6;23.4;47.5;154.4;1.9;60.7;0.0;11.6;0.0;1.0;0.0
26.7;23.3;48.7;123.4;1.6;59.7;0.0;11.9;0.0;1.0;0.0
26.9;22.8;50.3;54.7;2.0;67.0;0.0;12.0;0.0;1.0;0.0
27.9;24.6;36.3;121.4;0.2;181.7;0.0;8.7;1.0;0.0;0.0
27.7;25.1;35.2;154.5;0.4;196.8;0.0;8.7;1.0;0.0;0.0
27.8;25.4;34.8;180.2;0.7;245.1;0.0;8.7;1.0;0.0;0.0
28.8;25.7;34.4;237.3;0.7;247.5;0.0;8.9;1.0;0.0;0.0
29.6;26.3;33.6;248.2;0.5;263.2;0.0;9.0;1.0;0.0;0.0
30.1;26.3;34.3;301.3;0.8;270.7;0.0;9.3;1.0;0.0;0.0
30.6;26.7;34.3;331.6;1.1;294.1;0.0;9.7;1.0;0.0;0.0
27.1;31.7;30.5;400.1;2.8;179.5;0.0;12.3;0.0;1.0;0.0
27.4;31.7;29.5;442.5;3.1;172.3;0.0;11.7;0.0;1.0;0.0
28.5;31.3;30.0;299.1;2.9;177.7;0.0;11.7;0.0;1.0;0.0
29.6;31.0;31.0;188.3;2.5;179.3;0.0;11.9;0.0;1.0;0.0
30.0;30.6;31.3;131.9;2.9;177.8;0.0;11.7;0.0;1.0;0.0
30.6;30.3;31.0;104.7;2.7;180.5;0.0;11.3;0.0;1.0;0.0
31.0;30.1;30.3;95.0;2.6;183.7;0.0;10.8;0.0;1.0;0.0
